word,dialect,phonetic,mandarin,usage,english,iid
    ,眼睛鬼崽崽,liē jiō guaī zē zē,眼珠,统称,eyeball,0457
  ,眼泪水,liē lè suaī,眼泪,哭的时候流出来的,tear,0458
 ,眉毛,maí miē,眉毛,,eyebrow,0459
 ,耳夹,liē gā,耳朵,,ear,0460
 ,鼻头,paì toū,鼻子,,nose,0461
 ,鼻鼻,paì paì,鼻涕,统称,snot,0462
,擤,xiān,擤,～鼻涕,blow,0463
 ,咀夹,jiē gā,嘴巴,人的，统称,mouth,0464
 ,咀皮,jiē pā,嘴唇,,lip,0465
 ,口水,hoū suaī,口水,～流出来,saliva,0466
 ,舌头,lì toū,舌头,,tongue,0467
 ,牙齿,ngó cì,牙齿,,tooth,0468
  ,下咀皮,hō jiē pā,下巴,,chin,0469
 ,胡子,wú lē,胡子,嘴周围的,beard,0470
 ,颈骨,jiō guā,脖子,,neck,0471
 ,喉咙,hoú liān,喉咙,,throat,0472
 ,膀头,bě toū,肩膀,,shoulder,0473
,手,soū,胳膊,,arm,0474
,手,soū,手,方言指(打√)：只指手；包括臂：他的～摔断了,hand,0475
 ,左手,zē soū,左手,,left hand,0476
 ,右手,yòu soū,右手,,right hand,0477
 ,拳牯,guán gō,拳头,,fist,0478
  ,手崽崽,soū zē zē,手指,,finger,0479
  ,大手领,tò soū lin,大拇指,,thumb,0480
  ,啄手领,zuǎ soū līn,食指,,index finger,0481
    ,中心手崽崽,jín xiān soū zē zē,中指,,middle finger,0482
   ,小手崽崽,sī soū zē zē,无名指,,ring finger,0483
  ,尾鸟鸟,mā dī dī,小拇指,,little finger,0484
 ,手甲,soū gō,指甲,,nail,0485
,脚,jiě,腿,,leg,0486
,脚,jiě,脚,方言指(打√)：只指脚；包括小腿；包括小腿和大腿：他的～压断了,foot,0487
  ,鱼头骨,ó toū guā,膝盖,指部位,knee,0488
 ,背颈,bē jiō,背,名词,back,0806
 ,肚子,tō lè,肚子,腹部,belly,0490
  ,腹正皮,bǔ zō pā,肚脐,,navel,0491
 ,奶奶,laī laī,乳房,女性的,breast,0492
 ,耸牯,sān gō,屁股,,ass,0493
 ,屎穴,sī fā,肛门,,anus,0494
 ,鸟鸟,dī dī,阴茎,成人的,penis,0495
,屄,bí,女阴,成人的,pussy,0496
,肏,lē,肏,动词,coital,0497
 ,精水,jín suaī,精液,,semen,0498
  ,来月经,lá weì jīn,来月经,注意婉称,menstruate,0499
 ,屙屎,wú sī,拉屎,,shit,0500
 ,屙尿,wú lì,撒尿,,pee,0501
 ,打屁,dā paī,放屁,,fart,0502
    ,你耶那麻皮,ēng yē lā mà pī,相当于“他妈的”的口头禅,,fucking,0503
 ,得病,dě piò,病了,,sick,0504
   ,寒倒呱了,hín diē guā lì,着凉,,catch cold,0505
 ,咳嗽,kě soū,咳嗽,,cough,0506
 ,发热,fiǎ lǒ,发烧,,fever,0507
 ,发抖,fiǎ doū,发抖,,shiver,0508
  ,肚子疼,tō lè cà,肚子疼,,stomach ache,0509
  ,泄肚子,xiō tō lè,拉肚子,,diarrhea,0510
  ,打摆子,dā biā lē,患疟疾,,malaria,0511
,肿,zān,肿,,pus,0513
 ,灌脓,gūn lián,化脓,,fester,0514
 ,疤子,bó lē,疤,好了的,scar,0515
,癣,xiān,癣,,ringworm,0516
,痣,zī,痣,凸起的,nevus,0517
  ,风瘩婆,fián dā pò,疙瘩,蚊子咬后形成的,pimple,0518
  ,福骚嗅,fù xié cuā,狐臭,,body odor,0519
 ,盯病,diǒ piò,看病,,see a doctor,0520
 ,把脉,bǎ mè,诊脉,,feel the pulse,0521
 ,干针,gín zān,针灸,,acupuncture,0522
